subSampleID,amountSubSampled,subSampleTotal,subSampleExpansionCoef,subSampleMethod,sampleID,vesselID,vesselSerialNumber,dateCollect,timeCollect,ESTorEDT,netMesh,netDiameter,towDirection,towDepthStart,towDepthEnd,waterLayer,stationDepth,stationID,repID,flowMeterID,flowMeterRevolutions,flowMeterCalibration,collectedBy,preservationTechnique,sampleComment,processedBy,processDate,processComment,scopeUsed,species,organismCount,length,sex
,10,100,,,LT1_S1_02_08_2023,,,02_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,14_02_2024,,UVM_SZX7,Nauplii,1,0.1333,NA
,10,100,,,LT1_S1_02_08_2023,,,02_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,14_02_2024,,UVM_SZX7,Nauplii,1,0.1474,NA
,10,100,,,LT1_S1_02_08_2023,,,02_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,14_02_2024,,UVM_SZX7,Nauplii,1,0.1802,NA
,10,100,,,LT1_S1_02_08_2023,,,02_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,14_02_2024,,UVM_SZX7,Nauplii,1,0.1665,NA
,10,100,,,LT1_S1_02_08_2023,,,02_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,14_02_2024,,UVM_SZX7,Nauplii,1,0.1411,NA
,10,100,,,LT1_S1_02_08_2023,,,02_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,14_02_2024,,UVM_SZX7,Nauplii,1,0.1795,NA
,10,100,,,LT1_S1_02_08_2023,,,02_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,14_02_2024,,UVM_SZX7,Nauplii,1,0.1835,NA
,10,100,,,LT1_S1_02_08_2023,,,02_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,14_02_2024,,UVM_SZX7,Nauplii,1,0.1305,NA
,10,100,,,LT1_S1_02_08_2023,,,02_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,14_02_2024,,UVM_SZX7,Nauplii,1,0.14,NA
,10,100,,,LT1_S1_02_08_2023,,,02_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,14_02_2024,,UVM_SZX7,Nauplii,1,0.2012,NA
,10,100,,,LT1_S1_02_08_2023,,,02_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,14_02_2024,,UVM_SZX7,Nauplii,1,0.1703,NA
