subSampleID,amountSubSampled,subSampleTotal,subSampleExpansionCoef,subSampleMethod,sampleID,vesselID,vesselSerialNumber,dateCollect,timeCollect,ESTorEDT,netMesh,netDiameter,towDirection,towDepthStart,towDepthEnd,waterLayer,stationDepth,stationID,repID,flowMeterID,flowMeterRevolutions,flowMeterCalibration,collectedBy,preservationTechnique,sampleComment,processedBy,processDate,processComment,scopeUsed,species,organismCount,length,sex
,11,100,,,L3_SH1_15_08_2023,,,15_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,05_03_2024,,UVM_SZX7,Nauplii,1,0.1796,NA
,11,100,,,L3_SH1_15_08_2023,,,15_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,05_03_2024,,UVM_SZX7,Nauplii,1,0.1515,NA
,11,100,,,L3_SH1_15_08_2023,,,15_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,05_03_2024,,UVM_SZX7,Nauplii,1,0.1705,NA
,11,100,,,L3_SH1_15_08_2023,,,15_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,05_03_2024,,UVM_SZX7,Nauplii,1,0.1586,NA
,11,100,,,L3_SH1_15_08_2023,,,15_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,05_03_2024,,UVM_SZX7,Cyclopoid copedite,1,0.3051,NA
,11,100,,,L3_SH1_15_08_2023,,,15_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,05_03_2024,,UVM_SZX7,Nauplii,1,0.1891,NA
,11,100,,,L3_SH1_15_08_2023,,,15_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,05_03_2024,,UVM_SZX7,Nauplii,1,0.23,NA
,11,100,,,L3_SH1_15_08_2023,,,15_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,05_03_2024,,UVM_SZX7,Nauplii,1,0.1638,NA
,11,100,,,L3_SH1_15_08_2023,,,15_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,05_03_2024,,UVM_SZX7,Nauplii,1,0.1951,NA
,11,100,,,L3_SH1_15_08_2023,,,15_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,05_03_2024,,UVM_SZX7,Nauplii,1,0.1455,NA
,11,100,,,L3_SH1_15_08_2023,,,15_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,05_03_2024,,UVM_SZX7,Nauplii,1,0.173,NA
,11,100,,,L3_SH1_15_08_2023,,,15_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,05_03_2024,,UVM_SZX7,Nauplii,1,0.1891,NA
,11,100,,,L3_SH1_15_08_2023,,,15_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,05_03_2024,,UVM_SZX7,Nauplii,1,0.2021,NA
,11,100,,,L3_SH1_15_08_2023,,,15_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,05_03_2024,,UVM_SZX7,Daphnia,1,1.5182,NA
,11,100,,,L3_SH1_15_08_2023,,,15_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,05_03_2024,,UVM_SZX7,Simocephalus,1,1.1169,NA
,11,100,,,L3_SH1_15_08_2023,,,15_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,05_03_2024,,UVM_SZX7,Nauplii,1,0.1328,NA
