subSampleID,amountSubSampled,subSampleTotal,subSampleExpansionCoef,subSampleMethod,sampleID,vesselID,vesselSerialNumber,dateCollect,timeCollect,ESTorEDT,netMesh,netDiameter,towDirection,towDepthStart,towDepthEnd,waterLayer,stationDepth,stationID,repID,flowMeterID,flowMeterRevolutions,flowMeterCalibration,collectedBy,preservationTechnique,sampleComment,processedBy,processDate,processComment,scopeUsed,species,organismCount,length,sex
,10,100,,,LT7_H2_15_08_2023,,,15_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,29_02_2024,,UVM_SZX7,Nauplii,1,0.2336,NA
,10,100,,,LT7_H2_15_08_2023,,,15_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,29_02_2024,,UVM_SZX7,Nauplii,1,0.1601,NA
,10,100,,,LT7_H2_15_08_2023,,,15_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,29_02_2024,,UVM_SZX7,Nauplii,1,0.1833,NA
,10,100,,,LT7_H2_15_08_2023,,,15_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,29_02_2024,,UVM_SZX7,Nauplii,1,0.1653,NA
,10,100,,,LT7_H2_15_08_2023,,,15_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,29_02_2024,,UVM_SZX7,Nauplii,1,0.1462,NA
,10,100,,,LT7_H2_15_08_2023,,,15_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,29_02_2024,,UVM_SZX7,Nauplii,1,0.192,NA
,10,100,,,LT7_H2_15_08_2023,,,15_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,29_02_2024,,UVM_SZX7,Nauplii,1,0.1341,NA
,10,100,,,LT7_H2_15_08_2023,,,15_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,29_02_2024,,UVM_SZX7,Nauplii,1,0.1617,NA
,10,100,,,LT7_H2_15_08_2023,,,15_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,29_02_2024,,UVM_SZX7,Nauplii,1,0.1607,NA
,10,100,,,LT7_H2_15_08_2023,,,15_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,29_02_2024,,UVM_SZX7,Nauplii,1,0.1539,NA
