subSampleID,amountSubSampled,subSampleTotal,subSampleExpansionCoef,subSampleMethod,sampleID,vesselID,vesselSerialNumber,dateCollect,timeCollect,ESTorEDT,netMesh,netDiameter,towDirection,towDepthStart,towDepthEnd,waterLayer,stationDepth,stationID,repID,flowMeterID,flowMeterRevolutions,flowMeterCalibration,collectedBy,preservationTechnique,sampleComment,processedBy,processDate,processComment,scopeUsed,species,organismCount,length,sex
,5,100,,,LT9_SH2_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,10_04_2024,,UVM_SZX7,Nauplii,1,0.1961,NA
,5,100,,,LT9_SH2_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,10_04_2024,,UVM_SZX7,Nauplii,1,0.1427,NA
,5,100,,,LT9_SH2_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,10_04_2024,,UVM_SZX7,Cyclopoid copedite,1,0.3453,NA
,5,100,,,LT9_SH2_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,10_04_2024,,UVM_SZX7,Cyclopoid copedite,1,0.5222,NA
,5,100,,,LT9_SH2_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,10_04_2024,,UVM_SZX7,Nauplii,1,0.1477,NA
,5,100,,,LT9_SH2_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,10_04_2024,,UVM_SZX7,Nauplii,1,0.187,NA
,5,100,,,LT9_SH2_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,10_04_2024,,UVM_SZX7,Nauplii,1,0.1582,NA
,5,100,,,LT9_SH2_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,10_04_2024,,UVM_SZX7,Nauplii,1,0.1935,NA
,5,100,,,LT9_SH2_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,10_04_2024,,UVM_SZX7,Nauplii,1,0.192,NA
,5,100,,,LT9_SH2_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,10_04_2024,,UVM_SZX7,Nauplii,1,0.1926,NA
,5,100,,,LT9_SH2_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,10_04_2024,,UVM_SZX7,Nauplii,1,0.1232,NA
,5,100,,,LT9_SH2_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,10_04_2024,,UVM_SZX7,Nauplii,1,0.1464,NA
,5,100,,,LT9_SH2_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,10_04_2024,,UVM_SZX7,Nauplii,1,0.1029,NA
,5,100,,,LT9_SH2_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,10_04_2024,,UVM_SZX7,Nauplii,1,0.1782,NA
,5,100,,,LT9_SH2_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,10_04_2024,,UVM_SZX7,Nauplii,1,0.1657,NA
,5,100,,,LT9_SH2_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,10_04_2024,,UVM_SZX7,Nauplii,1,0.1801,NA
,5,100,,,LT9_SH2_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,10_04_2024,,UVM_SZX7,Nauplii,1,0.1478,NA
,5,100,,,LT9_SH2_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,10_04_2024,,UVM_SZX7,Nauplii,1,0.1077,NA
,5,100,,,LT9_SH2_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,10_04_2024,,UVM_SZX7,Nauplii,1,0.1461,NA
,5,100,,,LT9_SH2_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,10_04_2024,,UVM_SZX7,Nauplii,1,0.1345,NA
,5,100,,,LT9_SH2_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,10_04_2024,,UVM_SZX7,Nauplii,1,0.1071,NA
,5,100,,,LT9_SH2_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,10_04_2024,,UVM_SZX7,Nauplii,1,0.1826,NA
,5,100,,,LT9_SH2_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,10_04_2024,,UVM_SZX7,Nauplii,1,0.1165,NA
,5,100,,,LT9_SH2_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,10_04_2024,,UVM_SZX7,Nauplii,1,0.135,NA
,5,100,,,LT9_SH2_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,10_04_2024,,UVM_SZX7,Nauplii,1,0.1603,NA
,5,100,,,LT9_SH2_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,10_04_2024,,UVM_SZX7,Nauplii,1,0.1729,NA
,5,100,,,LT9_SH2_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,10_04_2024,,UVM_SZX7,Diacyclops,1,0.9683,NA
,5,100,,,LT9_SH2_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,10_04_2024,,UVM_SZX7,Cyclopoid copedite,1,0.5859,NA
,5,100,,,LT9_SH2_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,10_04_2024,,UVM_SZX7,Nauplii,1,0.0931,NA
,5,100,,,LT9_SH2_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,10_04_2024,,UVM_SZX7,Nauplii,1,0.2031,NA
,5,100,,,LT9_SH2_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,10_04_2024,,UVM_SZX7,Nauplii,1,0.1151,NA
,5,100,,,LT9_SH2_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,10_04_2024,,UVM_SZX7,Nauplii,1,0.1831,NA
,5,100,,,LT9_SH2_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,10_04_2024,,UVM_SZX7,Nauplii,1,0.1621,NA
,5,100,,,LT9_SH2_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,10_04_2024,,UVM_SZX7,Nauplii,1,0.1705,NA
,5,100,,,LT9_SH2_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,10_04_2024,,UVM_SZX7,Nauplii,1,0.0938,NA
,5,100,,,LT9_SH2_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,10_04_2024,,UVM_SZX7,Nauplii,1,0.1031,NA
,5,100,,,LT9_SH2_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,10_04_2024,,UVM_SZX7,Nauplii,1,0.1876,NA
,5,100,,,LT9_SH2_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,10_04_2024,,UVM_SZX7,Daphnia,1,0.5491,NA
,5,100,,,LT9_SH2_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,10_04_2024,,UVM_SZX7,Nauplii,1,0.2852,NA
,5,100,,,LT9_SH2_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,10_04_2024,,UVM_SZX7,Nauplii,1,0.136,NA
,5,100,,,LT9_SH2_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,10_04_2024,,UVM_SZX7,Nauplii,1,0.1702,NA
,5,100,,,LT9_SH2_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,10_04_2024,,UVM_SZX7,Nauplii,1,0.1505,NA
,5,100,,,LT9_SH2_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,10_04_2024,,UVM_SZX7,Nauplii,1,0.1442,NA
,5,100,,,LT9_SH2_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,10_04_2024,,UVM_SZX7,Nauplii,1,0.1562,NA
,5,100,,,LT9_SH2_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,10_04_2024,,UVM_SZX7,Nauplii,1,0.1759,NA
,5,100,,,LT9_SH2_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,10_04_2024,,UVM_SZX7,Nauplii,1,0.1554,NA
,5,100,,,LT9_SH2_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,10_04_2024,,UVM_SZX7,Nauplii,1,0.1734,NA
,5,100,,,LT9_SH2_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,10_04_2024,,UVM_SZX7,Nauplii,1,0.1438,NA
,5,100,,,LT9_SH2_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,10_04_2024,,UVM_SZX7,Nauplii,1,0.164,NA
,5,100,,,LT9_SH2_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,10_04_2024,,UVM_SZX7,Nauplii,1,0.1876,NA
,5,100,,,LT9_SH2_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,10_04_2024,,UVM_SZX7,Nauplii,1,0.2043,NA
,5,100,,,LT9_SH2_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,10_04_2024,,UVM_SZX7,Nauplii,1,0.1553,NA
,5,100,,,LT9_SH2_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,10_04_2024,,UVM_SZX7,Nauplii,1,0.1298,NA
,5,100,,,LT9_SH2_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,10_04_2024,,UVM_SZX7,Nauplii,1,0.1817,NA
,5,100,,,LT9_SH2_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,10_04_2024,,UVM_SZX7,Nauplii,1,0.1844,NA
,5,100,,,LT9_SH2_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,10_04_2024,,UVM_SZX7,Nauplii,1,0.2094,NA
,5,100,,,LT9_SH2_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,10_04_2024,,UVM_SZX7,Nauplii,1,0.2023,NA
,5,100,,,LT9_SH2_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,10_04_2024,,UVM_SZX7,Nauplii,1,0.284,NA
,5,100,,,LT9_SH2_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,10_04_2024,,UVM_SZX7,Nauplii,1,0.1719,NA
,5,100,,,LT9_SH2_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,10_04_2024,,UVM_SZX7,Nauplii,1,0.1116,NA
,5,100,,,LT9_SH2_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,10_04_2024,,UVM_SZX7,Nauplii,1,0.2008,NA
,5,100,,,LT9_SH2_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,10_04_2024,,UVM_SZX7,Nauplii,1,0.1933,NA
,5,100,,,LT9_SH2_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,10_04_2024,,UVM_SZX7,Nauplii,1,0.1252,NA
,5,100,,,LT9_SH2_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,10_04_2024,,UVM_SZX7,Mesocyclops,1,0.9063,NA
,5,100,,,LT9_SH2_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,10_04_2024,,UVM_SZX7,Nauplii,1,0.1198,NA
,5,100,,,LT9_SH2_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,10_04_2024,,UVM_SZX7,Nauplii,1,0.1526,NA
,5,100,,,LT9_SH2_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,10_04_2024,,UVM_SZX7,Nauplii,1,0.1685,NA
,5,100,,,LT9_SH2_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,10_04_2024,,UVM_SZX7,Nauplii,1,0.1441,NA
,5,100,,,LT9_SH2_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,10_04_2024,,UVM_SZX7,Nauplii,1,0.1693,NA
