Sample_Number,Sample ID,L_Tron,T_Ment,T_Ment#,Week,Date (DD-MM-YYYY),Time (24:00),Nutrient sampled,Well-plate,Depth,Equipment Used,Sample Vol (mL),Who? (Initials) ,Notes
1,1 - TP/TN,1,Salt,1,1,13-07-2023,10:30,TP/TN,,Integrated,Zoop Tube,15,HC/AA,
2,2 - SRP/NH4/NO3/NO2,1,Salt,1,1,13-07-2023,10:30,SRP/NH4/NO3/NO2,,Integrated,Zoop Tube,15,HC/AA,
3,3 - Particulate C/N/P,1,Salt,1,1,13-07-2023,10:30,Particulate C/N/P,A2,Integrated,Zoop Tube,30,HC/AA,
4,4 - TP/TN,2,Control,1,1,13-07-2023,10:30,TP/TN,,Integrated,Zoop Tube,15,HC/AA,
5,5 - SRP/NH4/NO3/NO2,2,Control,1,1,13-07-2023,10:30,SRP/NH4/NO3/NO2,,Integrated,Zoop Tube,15,HC/AA,
6,6 - Particulate C/N/P,2,Control,1,1,13-07-2023,10:30,Particulate C/N/P,A3,Integrated,Zoop Tube,30,HC/AA,
7,7 - TP/TN,3,Salt + Heat,1,1,13-07-2023,10:30,TP/TN,,Integrated,Zoop Tube,15,HC/AA,
8,8 - SRP/NH4/NO3/NO2,3,Salt + Heat,1,1,13-07-2023,10:30,SRP/NH4/NO3/NO2,,Integrated,Zoop Tube,15,HC/AA,
9,9 - Particulate C/N/P,3,Salt + Heat,1,1,13-07-2023,10:30,Particulate C/N/P,A4,Integrated,Zoop Tube,30,HC/AA,
10,10 - TP/TN,4,Heat,1,1,13-07-2023,10:30,TP/TN,,Integrated,Zoop Tube,15,HC/AA,
11,11 - SRP/NH4/NO3/NO2,4,Heat,1,1,13-07-2023,10:30,SRP/NH4/NO3/NO2,,Integrated,Zoop Tube,15,HC/AA,
12,12 - Particulate C/N/P,4,Heat,1,1,13-07-2023,10:30,Particulate C/N/P,A5,Integrated,Zoop Tube,30,HC/AA,
13,13 - TP/TN,5,Control,2,1,13-07-2023,10:30,TP/TN,,Integrated,Zoop Tube,15,HC/AA,
14,14 - SRP/NH4/NO3/NO2,5,Control,2,1,13-07-2023,10:30,SRP/NH4/NO3/NO2,,Integrated,Zoop Tube,15,HC/AA,
15,15 - Particulate C/N/P,5,Control,2,1,13-07-2023,10:30,Particulate C/N/P,A6,Integrated,Zoop Tube,30,HC/AA,
16,16 - TP/TN,6,Salt,2,1,13-07-2023,10:30,TP/TN,,Integrated,Zoop Tube,15,HC/AA,
17,17 - SRP/NH4/NO3/NO2,6,Salt,2,1,13-07-2023,10:30,SRP/NH4/NO3/NO2,,Integrated,Zoop Tube,15,HC/AA,
18,18 - Particulate C/N/P,6,Salt,2,1,13-07-2023,10:30,Particulate C/N/P,A7,Integrated,Zoop Tube,30,HC/AA,
19,19 - TP/TN,7,Heat,2,1,13-07-2023,10:30,TP/TN,,Integrated,Zoop Tube,15,HC/AA,
20,20 - SRP/NH4/NO3/NO2,7,Heat,2,1,13-07-2023,10:30,SRP/NH4/NO3/NO2,,Integrated,Zoop Tube,15,HC/AA,
21,21 - Particulate C/N/P,7,Heat,2,1,13-07-2023,10:30,Particulate C/N/P,A8,Integrated,Zoop Tube,30,HC/AA,
22,22 - TP/TN,9,Salt + Heat,2,1,13-07-2023,10:30,TP/TN,,Integrated,Zoop Tube,15,HC/AA,
23,23 - SRP/NH4/NO3/NO2,9,Salt + Heat,2,1,13-07-2023,10:30,SRP/NH4/NO3/NO2,,Integrated,Zoop Tube,15,HC/AA,
24,24 - Particulate C/N/P,9,Salt + Heat,2,1,13-07-2023,10:30,Particulate C/N/P,A9,Integrated,Zoop Tube,30,HC/AA,
25,25 - TP/TN,9,Control,3,1,13-07-2023,10:30,TP/TN,,Integrated,Zoop Tube,15,HC/AA,
26,26 - SRP/NH4/NO3/NO2,9,Control,3,1,13-07-2023,10:30,SRP/NH4/NO3/NO2,,Integrated,Zoop Tube,15,HC/AA,
27,27 - Particulate C/N/P,9,Control,3,1,13-07-2023,10:30,Particulate C/N/P,A10,Integrated,Zoop Tube,30,HC/AA,
28,28 - Blank TP/TN,na,Blank,na,1,13-07-2023,10:30,TP/TN,,Integrated,Zoop Tube,15,HC/AA,DI Water
29,29 - Blank SRP/NH4/NO3/NO2,na,Blank,na,1,13-07-2023,10:30,SRP/NH4/NO3/NO2,,Integrated,Zoop Tube,15,HC/AA,DI Water
30,30 - Particulate C/N/P,na,Blank,na,1,13-07-2023,10:30,Particulate C/N/P,A1,Integrated,Zoop Tube,30,HC/AA,
31,31 - TP/TN,1,Salt,1,2,20-07-2023,14:03,TP/TN,,Integrated,Zoop Tube,15,HC/AA,
32,32 - SRP/NH4/NO3/NO2,1,Salt,1,2,20-07-2023,14:23,SRP/NH4/NO3/NO2,,Integrated,Zoop Tube,15,HC/AA,
33,33 - Particulate C/N/P,1,Salt,1,2,20-07-2023,14:23,Particulate C/N/P,B9,Integrated,Zoop Tube,30,HC/AA,
34,34 - TP/TN,2,Control,1,2,20-07-2023,14:03,TP/TN,,Integrated,Zoop Tube,15,HC/AA,
35,35 - SRP/NH4/NO3/NO2,2,Control,1,2,20-07-2023,14:23,SRP/NH4/NO3/NO2,,Integrated,Zoop Tube,15,HC/AA,
36,36 - Particulate C/N/P,2,Control,1,2,20-07-2023,14:23,Particulate C/N/P,B10,Integrated,Zoop Tube,30,HC/AA,
37,37 - TP/TN,3,Salt + Heat,1,2,20-07-2023,14:03,TP/TN,,Integrated,Zoop Tube,15,HC/AA,
38,38 - SRP/NH4/NO3/NO2,3,Salt + Heat,1,2,20-07-2023,14:23,SRP/NH4/NO3/NO2,,Integrated,Zoop Tube,15,HC/AA,
39,39 - Particulate C/N/P,3,Salt + Heat,1,2,20-07-2023,14:23,Particulate C/N/P,B11,Integrated,Zoop Tube,30,HC/AA,
