subSampleID,amountSubSampled,subSampleTotal,subSampleExpansionCoef,subSampleMethod,sampleID,vesselID,vesselSerialNumber,dateCollect,timeCollect,ESTorEDT,netMesh,netDiameter,towDirection,towDepthStart,towDepthEnd,waterLayer,stationDepth,stationID,repID,flowMeterID,flowMeterRevolutions,flowMeterCalibration,collectedBy,preservationTechnique,sampleComment,processedBy,processDate,processComment,scopeUsed,species,organismCount,length,sex
,12,100,,,LT3_SH1_09_08_2023,,,09_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,27_02_2024,,UVM_SZX7,Nauplii,1,0.1335,NA
,12,100,,,LT3_SH1_09_08_2023,,,09_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,27_02_2024,,UVM_SZX7,Nauplii,1,0.1646,NA
,12,100,,,LT3_SH1_09_08_2023,,,09_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,27_02_2024,,UVM_SZX7,Nauplii,1,0.1587,NA
,12,100,,,LT3_SH1_09_08_2023,,,09_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,27_02_2024,,UVM_SZX7,Nauplii,1,0.1975,NA
,12,100,,,LT3_SH1_09_08_2023,,,09_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,27_02_2024,,UVM_SZX7,Nauplii,1,0.1722,NA
,12,100,,,LT3_SH1_09_08_2023,,,09_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,27_02_2024,,UVM_SZX7,Nauplii,1,0.1626,NA
,12,100,,,LT3_SH1_09_08_2023,,,09_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,27_02_2024,,UVM_SZX7,Nauplii,1,0.1465,NA
,12,100,,,LT3_SH1_09_08_2023,,,09_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,27_02_2024,,UVM_SZX7,Nauplii,1,0.1338,NA
,12,100,,,LT3_SH1_09_08_2023,,,09_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,27_02_2024,,UVM_SZX7,Nauplii,1,0.1762,NA
,12,100,,,LT3_SH1_09_08_2023,,,09_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,27_02_2024,,UVM_SZX7,Nauplii,1,0.1636,NA
,12,100,,,LT3_SH1_09_08_2023,,,09_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,27_02_2024,,UVM_SZX7,Nauplii,1,0.1584,NA
,12,100,,,LT3_SH1_09_08_2023,,,09_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,27_02_2024,,UVM_SZX7,Nauplii,1,0.1869,NA
,12,100,,,LT3_SH1_09_08_2023,,,09_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,27_02_2024,,UVM_SZX7,Nauplii,1,0.1897,NA
,12,100,,,LT3_SH1_09_08_2023,,,09_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,27_02_2024,,UVM_SZX7,Nauplii,1,0.1832,NA
,12,100,,,LT3_SH1_09_08_2023,,,09_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,27_02_2024,,UVM_SZX7,Nauplii,1,0.2105,NA
,12,100,,,LT3_SH1_09_08_2023,,,09_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,27_02_2024,,UVM_SZX7,Nauplii,1,0.2298,NA
,12,100,,,LT3_SH1_09_08_2023,,,09_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,27_02_2024,,UVM_SZX7,Nauplii,1,0.1451,NA
,12,100,,,LT3_SH1_09_08_2023,,,09_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,27_02_2024,,UVM_SZX7,Nauplii,1,0.1418,NA
,12,100,,,LT3_SH1_09_08_2023,,,09_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,27_02_2024,,UVM_SZX7,Nauplii,1,0.1855,NA
,12,100,,,LT3_SH1_09_08_2023,,,09_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,27_02_2024,,UVM_SZX7,Nauplii,1,0.1704,NA
,12,100,,,LT3_SH1_09_08_2023,,,09_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,27_02_2024,,UVM_SZX7,Nauplii,1,0.1889,NA
,12,100,,,LT3_SH1_09_08_2023,,,09_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,27_02_2024,,UVM_SZX7,Chydorus,1,0.237,NA
,12,100,,,LT3_SH1_09_08_2023,,,09_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,27_02_2024,,UVM_SZX7,Chydorus,1,0.233,NA
,12,100,,,LT3_SH1_09_08_2023,,,09_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,27_02_2024,,UVM_SZX7,Nauplii,1,0.1866,NA
,12,100,,,LT3_SH1_09_08_2023,,,09_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,27_02_2024,,UVM_SZX7,Nauplii,1,0.1849,NA
,12,100,,,LT3_SH1_09_08_2023,,,09_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,27_02_2024,,UVM_SZX7,Nauplii,1,0.1647,NA
,12,100,,,LT3_SH1_09_08_2023,,,09_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,27_02_2024,,UVM_SZX7,Nauplii,1,0.1699,NA
,12,100,,,LT3_SH1_09_08_2023,,,09_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,27_02_2024,,UVM_SZX7,Nauplii,1,0.1226,NA
,12,100,,,LT3_SH1_09_08_2023,,,09_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,27_02_2024,,UVM_SZX7,Nauplii,1,0.1397,NA
,12,100,,,LT3_SH1_09_08_2023,,,09_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,27_02_2024,,UVM_SZX7,Nauplii,1,0.1548,NA
,12,100,,,LT3_SH1_09_08_2023,,,09_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,27_02_2024,,UVM_SZX7,Nauplii,1,0.1481,NA
,12,100,,,LT3_SH1_09_08_2023,,,09_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,27_02_2024,,UVM_SZX7,Nauplii,1,0.1694,NA
,12,100,,,LT3_SH1_09_08_2023,,,09_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,27_02_2024,,UVM_SZX7,Nauplii,1,0.1837,NA
,12,100,,,LT3_SH1_09_08_2023,,,09_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,27_02_2024,,UVM_SZX7,Simocephalus,1,0.8114,NA
,12,100,,,LT3_SH1_09_08_2023,,,09_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,27_02_2024,,UVM_SZX7,Nauplii,1,0.1852,NA
