subSampleID,amountSubSampled,subSampleTotal,subSampleExpansionCoef,subSampleMethod,sampleID,vesselID,vesselSerialNumber,dateCollect,timeCollect,ESTorEDT,netMesh,netDiameter,towDirection,towDepthStart,towDepthEnd,waterLayer,stationDepth,stationID,repID,flowMeterID,flowMeterRevolutions,flowMeterCalibration,collectedBy,preservationTechnique,sampleComment,processedBy,processDate,processComment,scopeUsed,species,organismCount,length,sex
,5,100,,,LT4_H1_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Hannah Cane,08_12_2023,,UVM_SZX7,Nauplii,1,0.1683,NA
,5,100,,,LT4_H1_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Hannah Cane,08_12_2023,,UVM_SZX7,Nauplii,1,0.1789,NA
,5,100,,,LT4_H1_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Hannah Cane,08_12_2023,,UVM_SZX7,Nauplii,1,0.1981,NA
,5,100,,,LT4_H1_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Hannah Cane,08_12_2023,,UVM_SZX7,Nauplii,1,0.1675,NA
,5,100,,,LT4_H1_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Hannah Cane,08_12_2023,,UVM_SZX7,Nauplii,1,0.2036,NA
,5,100,,,LT4_H1_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Hannah Cane,08_12_2023,,UVM_SZX7,Cyclopoid copepodite,1,0.4523,NA
,5,100,,,LT4_H1_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Hannah Cane,08_12_2023,,UVM_SZX7,Nauplii,1,0.1617,NA
,5,100,,,LT4_H1_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Hannah Cane,08_12_2023,,UVM_SZX7,Nauplii,1,0.1671,NA
,5,100,,,LT4_H1_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Hannah Cane,08_12_2023,,UVM_SZX7,Nauplii,1,0.1642,NA
,5,100,,,LT4_H1_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Hannah Cane,08_12_2023,,UVM_SZX7,Nauplii,1,0.1559,NA
,5,100,,,LT4_H1_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Hannah Cane,08_12_2023,,UVM_SZX7,Nauplii,1,0.1965,NA
,5,100,,,LT4_H1_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Hannah Cane,08_12_2023,,UVM_SZX7,Nauplii,1,0.1918,NA
,5,100,,,LT4_H1_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Hannah Cane,08_12_2023,,UVM_SZX7,Nauplii,1,0.1954,NA
,5,100,,,LT4_H1_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Hannah Cane,08_12_2023,,UVM_SZX7,Nauplii,1,0.1298,NA
,5,100,,,LT4_H1_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Hannah Cane,08_12_2023,,UVM_SZX7,Cyclopoid copepodite,1,0.6465,NA
,5,100,,,LT4_H1_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Hannah Cane,08_12_2023,,UVM_SZX7,Nauplii,1,0.2064,NA
,5,100,,,LT4_H1_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Hannah Cane,08_12_2023,,UVM_SZX7,Nauplii,1,0.1607,NA
,5,100,,,LT4_H1_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Hannah Cane,08_12_2023,,UVM_SZX7,Nauplii,1,0.1907,NA
,5,100,,,LT4_H1_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Hannah Cane,08_12_2023,,UVM_SZX7,Nauplii,1,0.1741,NA
,5,100,,,LT4_H1_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Hannah Cane,08_12_2023,,UVM_SZX7,Nauplii,1,0.1552,NA
,5,100,,,LT4_H1_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Hannah Cane,08_12_2023,,UVM_SZX7,Nauplii,1,0.1476,NA
,5,100,,,LT4_H1_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Hannah Cane,08_12_2023,,UVM_SZX7,Nauplii,1,0.1887,NA
,5,100,,,LT4_H1_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Hannah Cane,08_12_2023,,UVM_SZX7,Nauplii,1,0.1696,NA
,5,100,,,LT4_H1_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Hannah Cane,08_12_2023,,UVM_SZX7,Nauplii,1,0.1195,NA
,5,100,,,LT4_H1_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Hannah Cane,08_12_2023,,UVM_SZX7,Nauplii,1,0.1541,NA
,5,100,,,LT4_H1_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Hannah Cane,08_12_2023,,UVM_SZX7,Nauplii,1,0.2631,NA
,5,100,,,LT4_H1_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Hannah Cane,08_12_2023,,UVM_SZX7,Nauplii,1,0.1711,NA
,5,100,,,LT4_H1_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Hannah Cane,08_12_2023,,UVM_SZX7,Nauplii,1,0.1581,NA
,5,100,,,LT4_H1_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Hannah Cane,08_12_2023,,UVM_SZX7,Diacyclops,1,0.6871,NA
,5,100,,,LT4_H1_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Hannah Cane,08_12_2023,,UVM_SZX7,Nauplii,1,0.1783,NA
,5,100,,,LT4_H1_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Hannah Cane,08_12_2023,,UVM_SZX7,Nauplii,1,0.202,NA
,5,100,,,LT4_H1_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Hannah Cane,08_12_2023,,UVM_SZX7,Nauplii,1,0.2336,NA
,5,100,,,LT4_H1_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Hannah Cane,08_12_2023,,UVM_SZX7,Simocephalus,1,0.6854,NA
,5,100,,,LT4_H1_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Hannah Cane,08_12_2023,,UVM_SZX7,Nauplii,1,0.2127,NA
,5,100,,,LT4_H1_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Hannah Cane,08_12_2023,,UVM_SZX7,Simocephalus,1,0.6961,NA
,5,100,,,LT4_H1_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Hannah Cane,08_12_2023,,UVM_SZX7,Nauplii,1,0.3036,NA
,5,100,,,LT4_H1_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Hannah Cane,08_12_2023,,UVM_SZX7,Nauplii,1,0.16,NA
,5,100,,,LT4_H1_13_07_2023,,,13_07_2023,,,,,,,,,,,,,,,,,,Hannah Cane,08_12_2023,,UVM_SZX7,Nauplii,1,0.1839,NA
