subSampleID,amountSubSampled,subSampleTotal,subSampleExpansionCoef,subSampleMethod,sampleID,vesselID,vesselSerialNumber,dateCollect,timeCollect,ESTorEDT,netMesh,netDiameter,towDirection,towDepthStart,towDepthEnd,waterLayer,stationDepth,stationID,repID,flowMeterID,flowMeterRevolutions,flowMeterCalibration,collectedBy,preservationTechnique,sampleComment,processedBy,processDate,processComment,scopeUsed,species,organismCount,length,sex
,13,100,,,LT9_C3_02_08_2023,,,02_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,25_03_2024,,UVM_SZX7,Nauplii,1,0.0926,NA
,13,100,,,LT9_C3_02_08_2023,,,02_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,25_03_2024,,UVM_SZX7,Nauplii,1,0.1316,NA
,13,100,,,LT9_C3_02_08_2023,,,02_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,25_03_2024,,UVM_SZX7,Nauplii,1,0.2109,NA
,13,100,,,LT9_C3_02_08_2023,,,02_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,25_03_2024,,UVM_SZX7,Simocephalus,1,0.7266,NA
,13,100,,,LT9_C3_02_08_2023,,,02_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,25_03_2024,,UVM_SZX7,Nauplii,1,0.1259,NA
,13,100,,,LT9_C3_02_08_2023,,,02_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,25_03_2024,,UVM_SZX7,Nauplii,1,0.1863,NA
,13,100,,,LT9_C3_02_08_2023,,,02_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,25_03_2024,,UVM_SZX7,Nauplii,1,0.1422,NA
,13,100,,,LT9_C3_02_08_2023,,,02_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,25_03_2024,,UVM_SZX7,Nauplii,1,0.1221,NA
,13,100,,,LT9_C3_02_08_2023,,,02_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,25_03_2024,,UVM_SZX7,Nauplii,1,0.1719,NA
,13,100,,,LT9_C3_02_08_2023,,,02_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,25_03_2024,,UVM_SZX7,Nauplii,1,0.1348,NA
,13,100,,,LT9_C3_02_08_2023,,,02_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,25_03_2024,,UVM_SZX7,Nauplii,1,0.1568,NA
,13,100,,,LT9_C3_02_08_2023,,,02_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,25_03_2024,,UVM_SZX7,Nauplii,1,0.1763,NA
,13,100,,,LT9_C3_02_08_2023,,,02_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,25_03_2024,,UVM_SZX7,Nauplii,1,0.1654,NA
,13,100,,,LT9_C3_02_08_2023,,,02_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,25_03_2024,,UVM_SZX7,Nauplii,1,0.1451,NA
,13,100,,,LT9_C3_02_08_2023,,,02_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,25_03_2024,,UVM_SZX7,Simocephalus,1,0.6576,NA
,13,100,,,LT9_C3_02_08_2023,,,02_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,25_03_2024,,UVM_SZX7,Nauplii,1,0.0989,NA
,13,100,,,LT9_C3_02_08_2023,,,02_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,25_03_2024,,UVM_SZX7,Nauplii,1,0.1679,NA
,13,100,,,LT9_C3_02_08_2023,,,02_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,25_03_2024,,UVM_SZX7,Simocephalus,1,1.0528,NA
,13,100,,,LT9_C3_02_08_2023,,,02_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,25_03_2024,,UVM_SZX7,Nauplii,1,0.2004,NA
,13,100,,,LT9_C3_02_08_2023,,,02_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,25_03_2024,,UVM_SZX7,Nauplii,1,0.1938,NA
,13,100,,,LT9_C3_02_08_2023,,,02_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,25_03_2024,,UVM_SZX7,Nauplii,1,0.2039,NA
,13,100,,,LT9_C3_02_08_2023,,,02_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,25_03_2024,,UVM_SZX7,Nauplii,1,0.1405,NA
,13,100,,,LT9_C3_02_08_2023,,,02_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,25_03_2024,,UVM_SZX7,Nauplii,1,0.189,NA
,13,100,,,LT9_C3_02_08_2023,,,02_08_2023,,,,,,,,,,,,,,,,,,Samantha Gonsalves,25_03_2024,,UVM_SZX7,Nauplii,1,0.1592,NA
